,id,Unnamed: 0,unified_text,text_re,polarity,polarity_re,polarity_confidence,polarity_confidence_re,polarity_changed,polarity_conf_changed,subjectivity,subjectivity_re,subjectivity_confidence,subjectivity_confidence_re,subjectivity_changed,subjectivity_conf_changed
0,9.284181604447108e+17,6,#MRT fault again https://t.co/OOIX1vNCHg,#mrt fault again https://t.co/ooix1vnchg,neutral,neutral,0.9155489206314088,0.9223618507385254,0,0.006812930107116699,objective,objective,0.9999540501506892,0.9150413433848965,0,-0.08491270676579266
1,9.166128227794208e+17,9,MRT breakdown on a rainy Saturday... #weekend #tgis @ City Hall MRT… https://t.co/62TpMUDdjF,mrt breakdown on a rainy saturday... #weekend #tgis @ city hall mrt… https://t.co/62tpmuddjf,neutral,neutral,0.7761648297309875,0.8992273807525635,0,0.12306255102157593,subjective,subjective,0.9920817542462242,0.9200845524158824,0,-0.07199720183034186
2,9.086841592033728e+17,12,Heard NSL signalling fault near TPY to Marina South Pier. #smrt (@ Jurong East MRT Interchange (NS1/EW24)) https://t.co/t28dXBu3dP,heard nsl signalling fault near tpy to marina south pier. #smrt (@ jurong east mrt interchange (ns1/ew24)) https://t.co/t28dxbu3dp,neutral,neutral,0.8488200902938843,0.9620488286018372,0,0.11322873830795288,objective,objective,0.9999898565225828,0.9999997637478123,0,9.907225229532912e-06
3,8.884104376786493e+17,16,Thankfully downtown line did not have a train fault just now. @ Tan Kah Kee MRT Station https://t.co/foXK6xq6EQ,thankfully downtown line did not have a train fault just now. @ tan kah kee mrt station https://t.co/foxk6xq6eq,neutral,neutral,0.8176012635231018,0.7776978015899658,0,-0.039903461933135986,subjective,objective,0.9869871096055848,0.9941257754316467,1,-0.992861334173938
4,8.852061561923706e+17,17,Power Fault. #nowork #teamdiscussion #smw4life @ Bishan MRT https://t.co/lonZvihwUN,power fault. #nowork #teamdiscussion #smw4life @ bishan mrt https://t.co/lonzvihwun,neutral,neutral,0.8107606172561646,0.8084534406661987,0,-0.0023071765899658203,objective,objective,0.9990293358575624,0.8003455952423307,0,-0.19868374061523164
5,8.805632637502341e+17,20,Previous delay now 15mins (@ Jurong East MRT Interchange (NS1/EW24) - @smrt_singapore in Singapore) https://t.co/chX3nCKb1g,previous delay now 15mins (@ jurong east mrt interchange (ns1/ew24) - @smrt_singapore in singapore) https://t.co/chx3nckb1g,neutral,neutral,0.9347315430641174,0.9719893336296082,0,0.03725779056549072,objective,objective,1.0,1.0,0,0.0
6,8.805522088816966e+17,21,Already have announcements of 10mins delay (@ Ang Mo Kio MRT Station (NS16) - @smrt_singapore in Singapore) https://t.co/TGZCKOhS2p,already have announcements of 10mins delay (@ ang mo kio mrt station (ns16) - @smrt_singapore in singapore) https://t.co/tgzckohs2p,neutral,neutral,0.9591977000236512,0.9618239402770996,0,0.0026262402534484863,objective,objective,0.9999999999999998,1.0,0,2.220446049250313e-16
7,8.740790974749082e+17,24,"In Singapore, the MRT doesn't moves #mrt #breakdown #smrt #late #singapore… https://t.co/b9goSKzpJK","in singapore, the mrt doesn't moves #mrt #breakdown #smrt #late #singapore… https://t.co/b9goskzpjk",neutral,neutral,0.8663918972015381,0.8479474186897278,0,-0.018444478511810303,objective,objective,1.0,1.0,0,0.0
8,8.69342167831126e+17,28,Train delay again. Alamak. (@ Choa Chu Kang MRT/LRT Interchange (NS4/BP1) - @smrt_singapore in Singapore) https://t.co/hJm1Av8sbw,train delay again. oh my god. (@ choa chu kang mrt/lrt interchange (ns4/bp1) - @smrt_singapore in singapore) https://t.co/hjm1av8sbw,neutral,neutral,0.9794254899024964,0.9208293557167053,0,-0.058596134185791016,objective,subjective,0.9999999999996548,1.0,1,1.000000000000345
9,8.54145193129513e+17,36,Train fault cb (@ Paya Lebar MRT Interchange (EW8/CC9) - @smrt_singapore in Singapore) https://t.co/EKVmnUQvoa,train fault cunt (@ paya lebar mrt interchange (ew8/cc9) - @smrt_singapore in singapore) https://t.co/ekvmnuqvoa,neutral,neutral,0.91054105758667,0.8255054354667664,0,-0.08503562211990356,objective,objective,0.999999999999806,1.0,0,1.9395596240201485e-13
